elapsed_ms,sensor_value,rolling_std,is_active,event
41278,265,15.307950004181905,False,
41379,251,20.840665376386415,False,
41479,277,13.01281419718669,False,
41578,316,32.715949219463745,False,
41678,281,21.455380055607186,False,
41781,249,33.511192160190284,False,
41881,1755,860.4006818531301,True,start_5
41986,845,758.4361102514381,True,
42079,247,759.3602570585309,True,
42178,269,339.0830773325776,True,
42280,2378,1224.0319984924135,True,
42386,1908,1107.1812558625313,True,
42481,254,1115.6457024222932,True,
42579,299,942.2156511825366,True,
42681,299,25.98076211348867,False,
42778,679,219.39310229205282,True,
42878,2301,1063.2723075487288,True,
42978,1236,824.1518872958627,True,
43078,340,981.7129587274135,True,
43178,2343,1003.3505535620799,True,
43278,1263,1002.5249789074246,True,
43378,2233,594.3343615620195,True,
43479,2171,543.0174951141076,True,
43578,1096,639.3014416793796,True,
43680,1301,570.7524273564965,True,
43778,1335,129.29423807733622,True,
43879,1355,27.30079363924051,False,end_5
43979,1365,15.275252316489972,False,
44078,1369,7.211102550866953,False,
44178,1367,1.9999999997819042,False,
44278,1371,1.9999999997828706,False,
44378,1371,2.309401076570726,False,
44478,1365,3.4641016150123622,False,
44579,1355,8.082903768600413,False,
44682,1352,6.806859285488686,False,
44778,1384,17.672954855723916,False,
44879,1383,18.19340539863661,False,
44978,1388,2.645751310906398,False,
45078,1381,3.6055512753476395,False,
45178,1381,4.041451884223453,False,
45278,1380,0.5773502684581646,False,
45379,1383,1.5275252313758463,False,
45478,1384,2.08166599926394,False,
45579,1379,2.6457513109053346,False,
45678,1381,2.516611478255906,False,
45778,1381,1.1547005380130697,False,
45878,1381,0.0,False,
45979,1395,8.082903768603044,False,
46082,1391,7.2111025508704385,False,
46180,1389,3.0550504631689455,False,
46284,1383,4.163331998832367,False,
46386,1384,3.2145502535342865,False,
46478,1388,2.645751310906561,False,
46579,1387,2.0816659992658813,False,
46692,1387,0.577350268469086,False,
46780,1389,1.1547005380192605,False,
46883,1387,1.1547005380192605,False,
46978,1389,1.1547005380197692,False,
47078,1391,1.9999999997927937,False,
47179,1398,4.725815626165635,False,
47278,1392,3.7859388970918575,False,
47379,1388,5.0332229567655045,False,
47478,1389,2.081665999267374,False,
47578,1390,0.9999999995856724,False,
47678,1390,0.5773502684730889,False,
47780,1391,0.5773502684741063,False,
47878,1393,1.5275252313820638,False,
47979,1392,0.9999999995883155,False,
48078,1390,1.5275252313822563,False,
48178,1390,1.1547005380216968,False,
